               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085398,            0.031547,            0.023219,             0.29785,             0.25627,             0.17231,            0.065004,            0.068738,            0.014138,             0.01897,            0.070545,           0.0032727,           0.0032727
                   1,            0.060794,            0.027248,            0.010805,             0.56042,             0.54224,             0.60179,             0.28543,            0.058149,            0.010199,           0.0089459,            0.040415,           0.0064753,           0.0064753
                   2,            0.056282,            0.023129,           0.0065007,             0.58298,             0.65166,             0.64298,             0.32758,            0.046484,            0.010337,           0.0058939,            0.010152,           0.0095458,           0.0095458
                   3,            0.050806,            0.022806,           0.0070198,             0.60065,             0.66815,             0.60976,               0.275,            0.047704,           0.0096607,           0.0050778,            0.009406,            0.009406,            0.009406
                   4,            0.048885,             0.02156,           0.0054577,             0.63048,             0.64816,             0.59776,             0.31313,            0.043093,            0.010281,            0.030619,            0.009406,            0.009406,            0.009406
                   5,             0.04487,            0.021386,           0.0061607,             0.58699,             0.75746,             0.63596,             0.31262,            0.041078,             0.01015,           0.0054716,            0.009208,            0.009208,            0.009208
                   6,            0.044018,             0.02187,           0.0054212,             0.82081,             0.82123,              0.8664,             0.50728,              0.0371,           0.0088583,           0.0048745,             0.00901,             0.00901,             0.00901
                   7,            0.041167,            0.021509,           0.0043717,             0.76755,             0.82887,             0.85642,             0.49556,            0.035667,           0.0083771,           0.0039639,            0.008812,            0.008812,            0.008812
                   8,             0.04006,             0.02071,           0.0047693,             0.77894,             0.77766,             0.81125,             0.42445,            0.036572,           0.0088582,           0.0036063,            0.008614,            0.008614,            0.008614
                   9,            0.039777,            0.020771,           0.0034535,             0.75607,             0.81036,             0.83598,             0.49359,            0.036262,           0.0087735,            0.004631,            0.008416,            0.008416,            0.008416
                  10,            0.039393,            0.021485,           0.0038095,             0.75509,             0.63111,             0.69804,             0.43237,            0.040174,            0.010178,            0.026148,            0.008218,            0.008218,            0.008218
                  11,            0.038362,            0.020937,           0.0055149,             0.80763,             0.77966,              0.8561,              0.5015,            0.034792,           0.0085715,           0.0035527,             0.00802,             0.00802,             0.00802
                  12,             0.03819,            0.019711,           0.0040194,             0.81826,              0.8185,             0.87661,             0.51738,            0.033984,           0.0081933,           0.0035487,            0.007822,            0.007822,            0.007822
                  13,            0.037168,            0.019907,           0.0045599,             0.68192,             0.79245,              0.7714,             0.45292,            0.034682,           0.0088576,           0.0038366,            0.007624,            0.007624,            0.007624
                  14,             0.03615,            0.020096,           0.0043364,             0.81645,             0.82009,             0.85934,             0.51286,            0.034115,            0.008171,           0.0026226,            0.007426,            0.007426,            0.007426
                  15,            0.036355,            0.019388,           0.0043856,             0.79932,             0.82288,             0.87635,             0.54767,            0.031789,           0.0082732,           0.0021291,            0.007228,            0.007228,            0.007228
                  16,            0.036066,            0.020659,           0.0035677,             0.82731,             0.83261,             0.88753,             0.56778,            0.031736,           0.0078556,           0.0020249,             0.00703,             0.00703,             0.00703
                  17,            0.035632,            0.019759,           0.0034304,             0.84632,             0.83802,             0.88994,             0.56505,            0.031496,             0.00784,           0.0043375,            0.006832,            0.006832,            0.006832
                  18,            0.035431,             0.01827,           0.0044453,             0.84086,              0.8465,             0.90038,             0.57222,            0.031377,           0.0077128,           0.0025311,            0.006634,            0.006634,            0.006634
                  19,            0.035562,            0.019367,           0.0032969,             0.81848,             0.86441,             0.89976,             0.58926,            0.030328,           0.0076973,           0.0014913,            0.006436,            0.006436,            0.006436
                  20,            0.033944,            0.018906,           0.0027734,             0.82737,              0.8607,             0.89941,             0.57306,            0.030457,           0.0076431,           0.0028434,            0.006238,            0.006238,            0.006238
                  21,            0.034998,            0.018544,           0.0033282,              0.7815,             0.81826,             0.86955,             0.55148,            0.031619,           0.0078901,           0.0020506,             0.00604,             0.00604,             0.00604
                  22,            0.033586,            0.019375,           0.0045158,             0.81905,             0.80189,              0.8584,             0.53852,            0.031507,            0.008098,           0.0042099,            0.005842,            0.005842,            0.005842
                  23,            0.031504,            0.018469,           0.0034938,             0.83805,             0.87423,             0.91752,             0.60258,            0.030672,           0.0075543,            0.001801,            0.005644,            0.005644,            0.005644
                  24,            0.033097,            0.018773,           0.0027147,             0.82106,             0.88394,             0.90528,             0.60148,            0.029331,           0.0076961,           0.0028736,            0.005446,            0.005446,            0.005446
